threshold,metric,n,spearman_rho
0,hits_r,224,-0.226321552934453
0,alpha_r,219,0.1591876450099288
0,delta_r,219,0.18582782912304543
5,hits_r,201,-0.2758862197200721
5,alpha_r,200,0.21589045034286766
5,delta_r,200,0.25164493360513823
10,hits_r,182,-0.286981403673581
10,alpha_r,181,0.22205216953040496
10,delta_r,181,0.2595283654187933
