threshold,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,directional_inverse_strength,zero,97,0.0,66.5360824742268,619.6185567010309,0.6323670958753048,0.5762987009116581,0.24854408377660034,0.21959791332483292,0.14754347842149543,0.12613636363636363
0,directional_inverse_strength,"(0,0.1]",50,0.021541209716944478,155.88,1536.4,0.4869926084790911,0.5233976649386543,0.41581210007472913,0.375,0.22782988788080658,0.21428571428571427
0,directional_inverse_strength,"(0.1,0.3]",26,0.1902428994582559,122.61538461538461,1490.0,0.3965352927590464,0.40192683679716923,0.4241004851849183,0.396341472864151,0.25588860897973836,0.2222222222222222
0,directional_inverse_strength,"(0.3,0.5]",30,0.38803478199216984,81.7,1986.7666666666667,0.4644281460415749,0.4357142874172756,0.43767731537421545,0.4590855985879898,0.26722391606823803,0.2642857142857143
0,directional_inverse_strength,"(0.5,1.0]",34,0.7267077724285462,17.029411764705884,1083.7941176470588,0.6228564764772143,0.5895968186003822,0.19919000566005707,0.20000000298023224,0.11961797616712706,0.12727272727272726
0,mutual_inverse_strength,zero,97,0.0,66.5360824742268,619.6185567010309,0.6323670958753048,0.5762987009116581,0.24854408377660034,0.21959791332483292,0.14754347842149543,0.12613636363636363
0,mutual_inverse_strength,"(0,0.1]",76,0.02493585032233442,104.34210526315789,1029.0657894736842,0.48260240222726547,0.4880952366760799,0.39914412413899963,0.36141304671764374,0.23476626155377084,0.2143181523290515
0,mutual_inverse_strength,"(0.1,0.3]",30,0.19112871781998422,94.83333333333333,1444.8666666666666,0.43394932860419866,0.45800866399492535,0.38266369762519997,0.38735993206501007,0.2188246701779779,0.20294117647058824
0,mutual_inverse_strength,"(0.3,0.5]",18,0.3873275663305653,151.44444444444446,2535.3333333333335,0.45550103773589895,0.4227678562913622,0.45981780905276537,0.46540775895118713,0.25531233353512345,0.23349532710280374
0,mutual_inverse_strength,"(0.5,1.0]",16,0.5999844419925231,31.9375,2801.3125,0.7024100864981556,0.6915584376880101,0.16626883011597854,0.125,0.10359820177741129,0.08913649025069638
