threshold,bucket,n,symmetry_score_mean,symmetry_score_raw_mean,self_loop_count_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,zero,207,0.0,0.016142744238904792,7.661835748792271,93.84057971014492,1068.2753623188405,0.5752597087873265,0.5324713587760925,0.22895041471914515,0.1964285671710968,0.1375909773433402,0.11408016443987667
0,weak_nonzero,6,0.07532020683296259,0.13441293981981456,6.5,84.16666666666667,1552.3333333333333,0.5046715626404399,0.4700905510357448,0.36099589864412945,0.3339655250310898,0.22364506061832187,0.2123940677966102
0,high_symmetry,24,0.8146236831617591,0.8146236831617591,0.0,22.333333333333332,1736.1666666666667,0.515896255842277,0.5574912897178105,0.423018521384189,0.4444444477558136,0.302846606961967,0.2222222222222222
5,zero,182,0.0,0.01765598272258638,8.576923076923077,106.5,1180.021978021978,0.5725876159404566,0.5344866216182709,0.24278332432987845,0.20000000298023224,0.14389426302182062,0.12182902080162353
5,weak_nonzero,6,0.07532020683296259,0.13441293981981456,6.5,84.16666666666667,1552.3333333333333,0.5046715626404399,0.4700905510357448,0.36099589864412945,0.3339655250310898,0.22364506061832187,0.2123940677966102
5,high_symmetry,13,0.8169293137118335,0.8169293137118335,0.0,40.0,3004.230769230769,0.5821480859111954,0.6168831161090306,0.3874886081768916,0.4444444477558136,0.25031427171364407,0.2222222222222222
10,zero,164,0.0,0.019173002817488405,9.402439024390244,117.34146341463415,1286.4512195121952,0.5814819728390992,0.538758201258523,0.22942547891686513,0.19886630028486252,0.13309737459868853,0.11232411450752061
10,weak_nonzero,6,0.07532020683296259,0.13441293981981456,6.5,84.16666666666667,1552.3333333333333,0.5046715626404399,0.4700905510357448,0.36099589864412945,0.3339655250310898,0.22364506061832187,0.2123940677966102
10,high_symmetry,12,0.8163044664448171,0.8163044664448171,0.0,42.75,3243.6666666666665,0.5923951200786092,0.6340718184198653,0.3734830270210902,0.33850129693746567,0.23413675731941072,0.18007662835249041
