threshold,prediction_metric,n,spearman_rho
0,hits_r,224,-0.03753362210424135
0,alpha_r,222,0.12193280912587172
0,delta_r,222,0.1171142374296153
5,hits_r,201,0.008656944116545813
5,alpha_r,201,0.13061653048439759
5,delta_r,201,0.12793283577114212
10,hits_r,182,0.01221596375948981
10,alpha_r,182,0.1309522288405245
10,delta_r,182,0.1291902168601239
