threshold,prediction_metric,n,spearman_rho
0,hits_r,224,0.014495269301793332
0,alpha_r,222,0.05572748104015108
0,delta_r,222,0.03351466761524108
5,hits_r,201,0.04455306888926468
5,alpha_r,201,0.07948596884455386
5,delta_r,201,0.05443060507495464
10,hits_r,182,0.08000620222189493
10,alpha_r,182,0.03893274597839539
10,delta_r,182,0.01607334054616472
