Model,Dataset,Baselines,Hits,Epsilon,Alpha,Delta
RotatE,FB15k237,without,0.5192235112190247,0.00451970100402832,0.2243037223815918,0.09545814079347238
RotatE,FB15k237,major,0.1367564286504473,0.0005130469799041748,0.04953998327255249,0.018577494692144373
RotatE,FB15k237,borda,0.5239281824656895,0.001148223876953125,0.03871823102235794,0.0182848784055586
RotatE,FB15k237,range,0.5267516800335476,0.0009039044380187988,0.03731682896614075,0.01820333120961136
