model,dataset,experiment_name,pool_mode,pool_size,num_communities,community_size,sampling_seed,k,total_voting_slots,pool_members,communities,unique_model_count,avg_pairwise_overlap,avg_pairwise_jaccard,baseline,Hits,Epsilon,Alpha,Delta,eligible_support,alpha_reduction,delta_reduction,alpha_recovery_vs_reference,delta_recovery_vs_reference
RotatE,FB15k237,RotatE_FB15k237,first,30,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_7|seed_19;seed_2|seed_25;seed_4|seed_9;seed_20|seed_15;seed_1|seed_24;seed_16|seed_12;seed_23|seed_17;seed_22|seed_12;seed_8|seed_5;seed_17,17,0.06666666666666667,0.022222222222222223,without,0.5201065123081208,0.004690706729888916,0.24139632284641266,0.0910324411002837,24321,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,30,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_7|seed_19;seed_2|seed_25;seed_4|seed_9;seed_20|seed_15;seed_1|seed_24;seed_16|seed_12;seed_23|seed_17;seed_22|seed_12;seed_8|seed_5;seed_17,17,0.06666666666666667,0.022222222222222223,major,0.12196569740772248,0.001905597746372223,0.28775647282600403,0.11150353178607467,5946,-0.19204994273706402,-0.22487687288578231,-0.88069086848277,-2.9484482398680316
RotatE,FB15k237,RotatE_FB15k237,first,30,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_7|seed_19;seed_2|seed_25;seed_4|seed_9;seed_20|seed_15;seed_1|seed_24;seed_16|seed_12;seed_23|seed_17;seed_22|seed_12;seed_8|seed_5;seed_17,17,0.06666666666666667,0.022222222222222223,borda,0.5216700851917266,0.003298163414001465,0.18378952145576477,0.07120729896032252,23565,0.2386399291893935,0.21778106684100992,0.381787390280345,0.3567262294829688
RotatE,FB15k237,RotatE_FB15k237,first,30,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_7|seed_19;seed_2|seed_25;seed_4|seed_9;seed_20|seed_15;seed_1|seed_24;seed_16|seed_12;seed_23|seed_17;seed_22|seed_12;seed_8|seed_5;seed_17,17,0.06666666666666667,0.022222222222222223,range,0.5245895564556122,0.0038600564002990723,0.17960651218891144,0.06934630844087158,23635,0.25596831769808986,0.2382242242138944,0.4044504488107775,0.38266263692880864
RotatE,FB15k237,RotatE_FB15k237,first,30,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_19;seed_25;seed_7|seed_9;seed_14;seed_24;seed_2|seed_12;seed_17;seed_5;seed_4|seed_11;seed_27;seed_6;seed_20|seed_17;seed_25;seed_3;seed_1|seed_6;seed_27;seed_9;seed_16|seed_12;seed_17;seed_11;seed_23|seed_4;seed_10;seed_9;seed_22|seed_7;seed_28;seed_18;seed_8|seed_23;seed_25;seed_11;seed_17,24,0.4888888888888889,0.07682539682539682,without,0.5201065123081208,0.004690706729888916,0.24139632284641266,0.0910324411002837,24321,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,30,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_19;seed_25;seed_7|seed_9;seed_14;seed_24;seed_2|seed_12;seed_17;seed_5;seed_4|seed_11;seed_27;seed_6;seed_20|seed_17;seed_25;seed_3;seed_1|seed_6;seed_27;seed_9;seed_16|seed_12;seed_17;seed_11;seed_23|seed_4;seed_10;seed_9;seed_22|seed_7;seed_28;seed_18;seed_8|seed_23;seed_25;seed_11;seed_17,24,0.4888888888888889,0.07682539682539682,major,0.12984217554330826,0.0020521879196166992,0.23560382425785065,0.1031589338598223,6078,0.023995802919696763,-0.13321067317287189,0.11003848380325845,-1.7465770037085124
RotatE,FB15k237,RotatE_FB15k237,first,30,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_19;seed_25;seed_7|seed_9;seed_14;seed_24;seed_2|seed_12;seed_17;seed_5;seed_4|seed_11;seed_27;seed_6;seed_20|seed_17;seed_25;seed_3;seed_1|seed_6;seed_27;seed_9;seed_16|seed_12;seed_17;seed_11;seed_23|seed_4;seed_10;seed_9;seed_22|seed_7;seed_28;seed_18;seed_8|seed_23;seed_25;seed_11;seed_17,24,0.4888888888888889,0.07682539682539682,borda,0.5235048353672027,0.0014658570289611816,0.13115611672401428,0.05321140866536033,22965,0.4566772385863484,0.41546762865843334,0.7306137397566144,0.6805375820467987
RotatE,FB15k237,RotatE_FB15k237,first,30,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_19;seed_25;seed_7|seed_9;seed_14;seed_24;seed_2|seed_12;seed_17;seed_5;seed_4|seed_11;seed_27;seed_6;seed_20|seed_17;seed_25;seed_3;seed_1|seed_6;seed_27;seed_9;seed_16|seed_12;seed_17;seed_11;seed_23|seed_4;seed_10;seed_9;seed_22|seed_7;seed_28;seed_18;seed_8|seed_23;seed_25;seed_11;seed_17,24,0.4888888888888889,0.07682539682539682,range,0.5264707267284393,0.001954495906829834,0.12778332829475403,0.051564738052866876,23039,0.4706492344705035,0.43355646152494337,0.7436634964275678,0.6964273233426359
RotatE,FB15k237,RotatE_FB15k237,first,30,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_19;seed_25;seed_9;seed_14;seed_7|seed_24;seed_12;seed_17;seed_5;seed_11;seed_2|seed_26;seed_6;seed_16;seed_24;seed_29;seed_4|seed_6;seed_27;seed_9;seed_12;seed_17;seed_20|seed_12;seed_4;seed_11;seed_9;seed_8;seed_1|seed_29;seed_19;seed_23;seed_25;seed_11;seed_16|seed_19;seed_20;seed_18;seed_27;seed_28;seed_23|seed_14;seed_25;seed_23;seed_21;seed_8;seed_22|seed_23;seed_16;seed_1;seed_5;seed_24;seed_8|seed_0;seed_10;seed_4;seed_7;seed_20;seed_17,27,1.0444444444444445,0.10195286195286198,without,0.5201065123081208,0.004690706729888916,0.24139632284641266,0.0910324411002837,24321,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,30,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26;seed_27;seed_28;seed_29;seed_3;seed_4;seed_5;seed_6;seed_7;seed_8;seed_9,seed_22;seed_19;seed_25;seed_9;seed_14;seed_7|seed_24;seed_12;seed_17;seed_5;seed_11;seed_2|seed_26;seed_6;seed_16;seed_24;seed_29;seed_4|seed_6;seed_27;seed_9;seed_12;seed_17;seed_20|seed_12;seed_4;seed_11;seed_9;seed_8;seed_1|seed_29;seed_19;seed_23;seed_25;seed_11;seed_16|seed_19;seed_20;seed_18;seed_27;seed_28;seed_23|seed_14;seed_25;seed_23;seed_21;seed_8;seed_22|seed_23;seed_16;seed_1;seed_5;seed_24;seed_8|seed_0;seed_10;seed_4;seed_7;seed_20;seed_17,27,1.0444444444444445,0.10195286195286198,major,0.1344229444861412,0.0022232085466384888,0.2096354216337204,0.10172526041666667,6144,0.13157160323813213,-0.1174616344145213,0.603353002203725,-1.5400852244037675
