model,dataset,experiment_name,pool_mode,pool_size,num_communities,community_size,sampling_seed,k,total_voting_slots,pool_members,communities,unique_model_count,avg_pairwise_overlap,avg_pairwise_jaccard,baseline,Hits,Epsilon,Alpha,Delta,eligible_support,alpha_reduction,delta_reduction,alpha_recovery_vs_reference,delta_recovery_vs_reference
RotatE,FB15k237,RotatE_FB15k237,first,20,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_2|seed_14;seed_20|seed_24;seed_1|seed_12;seed_16|seed_17;seed_22|seed_12;seed_14|seed_11;seed_26|seed_17;seed_12|seed_25;seed_15|seed_12;seed_13,14,0.2,0.06666666666666667,without,0.5212767422199249,0.0033714771270751953,0.2405073642730713,0.09133451007758302,24361,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,20,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_2|seed_14;seed_20|seed_24;seed_1|seed_12;seed_16|seed_17;seed_22|seed_12;seed_14|seed_11;seed_26|seed_17;seed_12|seed_25;seed_15|seed_12;seed_13,14,0.2,0.06666666666666667,major,0.12208785265684127,0.0014658495783805847,0.2680183947086334,0.11552223547452718,5869,-0.11438747631996082,-0.26482569815503676,-0.33439925434433,-4.9651675592377655
RotatE,FB15k237,RotatE_FB15k237,first,20,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_2|seed_14;seed_20|seed_24;seed_1|seed_12;seed_16|seed_17;seed_22|seed_12;seed_14|seed_11;seed_26|seed_17;seed_12|seed_25;seed_15|seed_12;seed_13,14,0.2,0.06666666666666667,borda,0.5219192802906036,0.0023697614669799805,0.17589673399925232,0.07122774133083412,23474,0.26864304329766914,0.22014426671440443,0.4066649806491743,0.3679578634443759
RotatE,FB15k237,RotatE_FB15k237,first,20,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_2|seed_14;seed_20|seed_24;seed_1|seed_12;seed_16|seed_17;seed_22|seed_12;seed_14|seed_11;seed_26|seed_17;seed_12|seed_25;seed_15|seed_12;seed_13,14,0.2,0.06666666666666667,range,0.5247507929801941,0.002247631549835205,0.17223519086837769,0.07098280619825939,23555,0.28386728868384087,0.2228260036872822,0.4244504904046116,0.3658108739319025
RotatE,FB15k237,RotatE_FB15k237,first,20,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_14;seed_24;seed_2|seed_12;seed_17;seed_26;seed_20|seed_12;seed_17;seed_13;seed_1|seed_18;seed_11;seed_10;seed_16|seed_18;seed_23;seed_11;seed_22|seed_2;seed_21;seed_19;seed_14|seed_14;seed_24;seed_22;seed_26|seed_22;seed_24;seed_17;seed_12|seed_1;seed_25;seed_0;seed_15|seed_10;seed_20;seed_0;seed_13,20,0.5777777777777777,0.09269841269841271,without,0.5212767422199249,0.0033714771270751953,0.2405073642730713,0.09133451007758302,24361,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,20,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_14;seed_24;seed_2|seed_12;seed_17;seed_26;seed_20|seed_12;seed_17;seed_13;seed_1|seed_18;seed_11;seed_10;seed_16|seed_18;seed_23;seed_11;seed_22|seed_2;seed_21;seed_19;seed_14|seed_14;seed_24;seed_22;seed_26|seed_22;seed_24;seed_17;seed_12|seed_1;seed_25;seed_0;seed_15|seed_10;seed_20;seed_0;seed_13,20,0.5777777777777777,0.09269841269841271,major,0.12979575693607331,0.0010993778705596924,0.22350192070007324,0.10866299449173761,5991,0.07070654000303342,-0.18972548710706516,0.20670282285225972,-3.5571277270572783
RotatE,FB15k237,RotatE_FB15k237,first,20,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_14;seed_24;seed_2|seed_12;seed_17;seed_26;seed_20|seed_12;seed_17;seed_13;seed_1|seed_18;seed_11;seed_10;seed_16|seed_18;seed_23;seed_11;seed_22|seed_2;seed_21;seed_19;seed_14|seed_14;seed_24;seed_22;seed_26|seed_22;seed_24;seed_17;seed_12|seed_1;seed_25;seed_0;seed_15|seed_10;seed_20;seed_0;seed_13,20,0.5777777777777777,0.09269841269841271,borda,0.523868852853775,0.0017834305763244629,0.12805064022541046,0.05317616240995416,22905,0.4675812085320507,0.4177867449578007,0.7078124964096315,0.6983053446923769
RotatE,FB15k237,RotatE_FB15k237,first,20,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_14;seed_24;seed_2|seed_12;seed_17;seed_26;seed_20|seed_12;seed_17;seed_13;seed_1|seed_18;seed_11;seed_10;seed_16|seed_18;seed_23;seed_11;seed_22|seed_2;seed_21;seed_19;seed_14|seed_14;seed_24;seed_22;seed_26|seed_22;seed_24;seed_17;seed_12|seed_1;seed_25;seed_0;seed_15|seed_10;seed_20;seed_0;seed_13,20,0.5777777777777777,0.09269841269841271,range,0.5267199218273163,0.0017589926719665527,0.12425547093153,0.05147602278161819,23001,0.48336105504673554,0.43640117259190975,0.7227420877140194,0.7164347593595737
RotatE,FB15k237,RotatE_FB15k237,first,20,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_14;seed_24;seed_12;seed_23;seed_2|seed_12;seed_11;seed_16;seed_26;seed_23;seed_20|seed_12;seed_11;seed_19;seed_23;seed_17;seed_1|seed_11;seed_2;seed_21;seed_19;seed_18;seed_16|seed_14;seed_25;seed_23;seed_21;seed_20;seed_22|seed_24;seed_17;seed_1;seed_0;seed_26;seed_14|seed_2;seed_0;seed_22;seed_18;seed_11;seed_26|seed_19;seed_10;seed_15;seed_16;seed_11;seed_12|seed_12;seed_25;seed_22;seed_10;seed_1;seed_15|seed_19;seed_24;seed_23;seed_11;seed_12;seed_13,20,1.7333333333333334,0.18026936026936025,without,0.5212767422199249,0.0033714771270751953,0.2405073642730713,0.09133451007758302,24361,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,20,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17;seed_18;seed_19;seed_2;seed_20;seed_21;seed_22;seed_23;seed_24;seed_25;seed_26,seed_26;seed_14;seed_24;seed_12;seed_23;seed_2|seed_12;seed_11;seed_16;seed_26;seed_23;seed_20|seed_12;seed_11;seed_19;seed_23;seed_17;seed_1|seed_11;seed_2;seed_21;seed_19;seed_18;seed_16|seed_14;seed_25;seed_23;seed_21;seed_20;seed_22|seed_24;seed_17;seed_1;seed_0;seed_26;seed_14|seed_2;seed_0;seed_22;seed_18;seed_11;seed_26|seed_19;seed_10;seed_15;seed_16;seed_11;seed_12|seed_12;seed_25;seed_22;seed_10;seed_1;seed_15|seed_19;seed_24;seed_23;seed_11;seed_12;seed_13,20,1.7333333333333334,0.18026936026936025,major,0.13398074805736543,0.0013436973094940186,0.1846102476119995,0.08779836421298615,5991,0.2324133268435239,0.038716426699975,0.6794348970403621,0.7258870540115919
