model,dataset,baseline,relation_id,relation_name,mapping_type,side,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
RotatE,FB15k237,without,79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,M-N,head,42,42,41,0.8979591812406268,0.19512194395065308,0.14634146341463414
RotatE,FB15k237,without,80,/sports/sports_team/sport,M-1,head,53,53,44,0.7681940708841596,0.1818181872367859,0.1590909090909091
RotatE,FB15k237,without,81,/education/educational_institution_campus/educational_institution,1-1,head,13,13,13,1.0,0.0,0.0
RotatE,FB15k237,without,82,/people/person/religion,M-1,head,127,127,12,0.04499437553542001,0.75,0.5
RotatE,FB15k237,without,83,/organization/organization/headquarters./location/mailing_address/citytown,M-1,head,55,55,21,0.22857142984867096,0.761904776096344,0.42857142857142855
RotatE,FB15k237,without,84,/film/film/produced_by,M-1,head,60,60,23,0.27380953090531485,0.43478259444236755,0.2608695652173913
RotatE,FB15k237,without,85,/people/person/spouse_s./people/marriage/type_of_union,M-1,head,346,346,14,0.019818331514086043,0.7857142686843872,0.5714285714285714
RotatE,FB15k237,without,86,/film/film/production_companies,M-1,head,84,84,38,0.33163265671048847,0.44736841320991516,0.18421052631578946
RotatE,FB15k237,without,87,/location/country/second_level_divisions,1-N,head,46,46,45,0.97826087474823,0.0,0.0
RotatE,FB15k237,without,88,/base/culturalevent/event/entity_involved,M-N,head,20,20,11,0.5214285765375409,0.3636363744735718,0.18181818181818182
RotatE,FB15k237,without,89,/education/educational_degree/people_with_this_degree./education/education/institution,M-N,head,287,287,283,0.9711299112864903,0.03180212154984474,0.024734982332155476
RotatE,FB15k237,without,90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,M-1,head,38,38,18,0.3496240632874625,0.6111111044883728,0.5
RotatE,FB15k237,without,91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,M-1,head,11,11,6,0.5454545617103577,0.0,0.0
RotatE,FB15k237,without,92,/music/performance_role/regular_performances./music/group_membership/group,M-N,head,167,167,149,0.8374679173742022,0.1342281848192215,0.0738255033557047
RotatE,FB15k237,without,93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,M-N,head,30,30,30,1.0,0.0,0.0
RotatE,FB15k237,without,94,/sports/sports_team_location/teams,1-1,head,53,53,16,0.0997304597071239,0.9375,0.4375
RotatE,FB15k237,without,95,/sports/sports_team/colors,M-N,head,77,77,7,0.03153988812118769,1.0,0.5714285714285714
RotatE,FB15k237,without,96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,M-N,head,43,43,43,1.0,0.0,0.0
