threshold,bucket,n,inverse_strength_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,zero,97,0.0,66.5360824742268,619.6185567010309,0.6519869450965653,0.6095940385546004,0.16641053708735853,0.14724480360746384,0.10098952218109221,0.08430232558139535
0,"(0,0.1]",50,0.021541209716944478,155.88,1536.4,0.5048238879016468,0.5386486692087991,0.3325807496160269,0.26013512909412384,0.19096800488724575,0.12952725886389632
0,"(0.1,0.3]",26,0.19024289945825595,122.61538461538461,1490.0,0.43211724645980115,0.4464717422212873,0.39626732051372526,0.2916666567325592,0.2598763925536489,0.18620689655172415
0,"(0.3,0.5]",30,0.3880347819921698,81.7,1986.7666666666667,0.494048475651514,0.47990669310092926,0.31887947271267575,0.2819293439388275,0.20104386412230735,0.17028985507246375
0,"(0.5,1.0]",34,0.7267077724285462,17.029411764705884,1083.7941176470588,0.614110800427395,0.5153061194079263,0.15578739643096923,0.032258063554763794,0.11334865640368486,0.03225806451612903
5,zero,85,0.0,75.71764705882353,678.964705882353,0.6555399312442091,0.6111111215182713,0.17717375778867042,0.1550387591123581,0.10636512989012332,0.0945945945945946
5,"(0,0.1]",49,0.021572662976473957,159.0,1565.7142857142858,0.494718252960864,0.5352805256843567,0.3393681118530886,0.2702702581882477,0.19486531110943445,0.13114754098360656
5,"(0.1,0.3]",23,0.1865019758168448,138.30434782608697,1639.0434782608695,0.48382198047008573,0.4591836759022304,0.3437688266453536,0.2866241931915283,0.21725694842787927,0.18181818181818182
5,"(0.3,0.5]",28,0.3902735301564456,87.35714285714286,2104.8928571428573,0.49681214227968334,0.47990669310092926,0.3237994350492954,0.2819293439388275,0.19754699727390074,0.17028985507246375
5,"(0.5,1.0]",16,0.7096676506940696,34.625,2004.125,0.6128854067730052,0.5153061194079263,0.1705011399462819,0.1596638709306717,0.10419060896409094,0.1213235294117647
10,zero,78,0.0,81.82051282051282,719.3076923076923,0.6699895871045825,0.6317026742867061,0.17213379540958273,0.1527881994843483,0.10309020564949337,0.09141494435612083
10,"(0,0.1]",45,0.02062860759213733,172.4,1693.1555555555556,0.4965131879325897,0.5352805256843567,0.3314196880492899,0.25,0.18820799645159741,0.12742382271468145
10,"(0.1,0.3]",21,0.18483107093602436,150.76190476190476,1783.5238095238096,0.4884765518664503,0.49129402211734224,0.32029178241888684,0.28205129504203796,0.1929745413998466,0.16666666666666666
10,"(0.3,0.5]",26,0.3878605658284288,93.5,2252.5384615384614,0.5080138085471405,0.48227500915527344,0.29956178539074385,0.2741653770208359,0.1742813816795854,0.16269841269841268
10,"(0.5,1.0]",12,0.7146850762665129,43.75,2574.8333333333335,0.6192638749877611,0.5153061194079263,0.11820786694685619,0.0786290317773819,0.0737753093066186,0.06077188940092166
