threshold,metric,n,spearman_rho
0,hits_r,224,-0.23179984691660496
0,alpha_r,222,0.1820811650638287
0,delta_r,222,0.1968475413579442
5,hits_r,201,-0.2608566992268871
5,alpha_r,201,0.2579084929296788
5,delta_r,201,0.27316667641267106
10,hits_r,182,-0.28349436033123654
10,alpha_r,182,0.22487912155841913
10,delta_r,182,0.2382895733804349
