threshold,mapping_type,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,1-1,directional_inverse_strength,"(0,0.1]",3,0.03637387030844972,36.666666666666664,0.43765598748411455,0.26984127717358725,0.5231481393178304,0.625,0.2962962962962963,0.3888888888888889
5,1-1,directional_inverse_strength,"(0.1,0.3]",3,0.13710514817385047,11.666666666666666,0.588775504912649,0.699999988079071,0.31313132246335346,0.27272728085517883,0.1818181818181818,0.21212121212121213
5,1-1,directional_inverse_strength,"(0.3,0.5]",1,0.4014084507042254,11.0,0.29220779878752573,0.29220779878752573,0.7777777910232544,0.7777777910232544,0.5555555555555556,0.5555555555555556
5,1-1,directional_inverse_strength,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-1,mutual_inverse_strength,"(0,0.1]",6,0.0287887502158627,24.166666666666668,0.5132157461983816,0.4849206326263291,0.4181397308905919,0.4488636404275894,0.23905723905723905,0.2727272727272727
5,1-1,mutual_inverse_strength,"(0.1,0.3]",1,0.15159574468085107,11.0,0.29220779878752573,0.29220779878752573,0.7777777910232544,0.7777777910232544,0.5555555555555556,0.5555555555555556
5,1-1,mutual_inverse_strength,"(0.5,1.0]",2,0.8026440037771482,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-1,inverse_clarity,"(0,0.1]",7,0.016070452146723625,22.285714285714285,0.48164318228254516,0.29220779878752573,0.46951659662382944,0.625,0.2842712842712843,0.3333333333333333
5,1-1,inverse_clarity,"(0.5,1.0]",2,0.7740212189670216,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-N,directional_inverse_strength,zero,13,0.0,46.76923076923077,0.5477835935550731,0.5423280426434108,0.2304293645115999,0.1818181872367859,0.1356673709127617,0.12121212121212122
5,1-N,directional_inverse_strength,"(0,0.1]",6,0.022293810442126093,76.66666666666667,0.3469734305427188,0.30751391393797733,0.5005034555991491,0.5492063760757446,0.2824285030103995,0.2801724137931034
5,1-N,directional_inverse_strength,"(0.1,0.3]",5,0.1748763859087668,23.0,0.47830719607216976,0.4065933993884495,0.368696528673172,0.34090909361839294,0.2503029645840316,0.2222222222222222
5,1-N,directional_inverse_strength,"(0.3,0.5]",2,0.3483788923788814,55.0,0.273837071444307,0.273837071444307,0.5477941185235977,0.5477941185235977,0.32924836601307195,0.32924836601307195
5,1-N,mutual_inverse_strength,zero,13,0.0,46.76923076923077,0.5477835935550731,0.5423280426434108,0.2304293645115999,0.1818181872367859,0.1356673709127617,0.12121212121212122
5,1-N,mutual_inverse_strength,"(0,0.1]",10,0.018184318267606022,52.9,0.3951637438365392,0.3595779240131378,0.47144279032945635,0.4955665171146393,0.2851746218341046,0.2629310344827586
5,1-N,mutual_inverse_strength,"(0.1,0.3]",2,0.1225524453429584,68.5,0.38057129404374535,0.38057129404374535,0.37853773683309555,0.37853773683309555,0.1999475890985325,0.1999475890985325
5,1-N,mutual_inverse_strength,"(0.3,0.5]",1,0.36208991494532194,19.0,0.3082706800528935,0.3082706800528935,0.47058823704719543,0.47058823704719543,0.35294117647058826,0.35294117647058826
5,1-N,inverse_clarity,zero,13,0.0,46.76923076923077,0.5477835935550731,0.5423280426434108,0.2304293645115999,0.1818181872367859,0.1356673709127617,0.12121212121212122
5,1-N,inverse_clarity,"(0,0.1]",13,0.027878470771104478,52.69230769230769,0.3862346697312135,0.34415584802627563,0.45708397030830383,0.47058823704719543,0.27727558253913076,0.27586206896551724
5,M-1,directional_inverse_strength,zero,31,0.0,81.19354838709677,0.5925546435441839,0.5470383337565831,0.20665340546158054,0.16363635659217834,0.12053385257526611,0.1111111111111111
5,M-1,directional_inverse_strength,"(0,0.1]",19,0.018497624916704463,69.94736842105263,0.4860407395246334,0.5208212988717216,0.3717081186018492,0.3214285671710968,0.2230888869112672,0.21052631578947367
5,M-1,directional_inverse_strength,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4019841732723372,0.4106116997344153,0.44119369983673096,0.4343354403972626,0.2512355129048167,0.23299050632911392
5,M-1,directional_inverse_strength,"(0.3,0.5]",12,0.4018336091463554,35.333333333333336,0.40157932078554515,0.4047619104385376,0.4852166970570882,0.44488105177879333,0.32324635176713806,0.3143939393939394
