threshold,bucket,n,log_train_frequency_mean,train_frequency_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,low_frequency,79,4.93209098528681,142.79746835443038,10.810126582278482,0.633032643245861,0.6111111215182713,0.20985303857528112,0.15099715441465378,0.15092409791067402,0.10727969348659003
0,mid_frequency,79,5.938608901347455,400.0253164556962,27.582278481012658,0.5720230015765008,0.5321524781840188,0.26344683558990556,0.20000000298023224,0.16377392515516526,0.125
0,high_frequency,79,7.5808093035080715,2901.6708860759495,220.67088607594937,0.5075237509974736,0.5,0.26934227475283457,0.23341836035251617,0.1475379163045836,0.12037037037037036
5,low_frequency,67,5.013366144901558,156.2089552238806,15.970149253731343,0.6191069801320146,0.6043956194605146,0.23348405651414572,0.17241379618644714,0.1582255436533461,0.125
5,mid_frequency,67,6.118562448143193,481.02985074626866,38.985074626865675,0.5921095294008122,0.5452381031853812,0.2643113398868869,0.2222222238779068,0.1552052344372091,0.13333333333333333
5,high_frequency,67,7.756872721739547,3290.1194029850744,249.6417910447761,0.5023193202261478,0.49129402211734224,0.26921792190049343,0.23255814611911774,0.1460425318491264,0.11553784860557768
10,low_frequency,61,5.119990409369796,175.39344262295083,19.34426229508197,0.6403377909885078,0.6394557867731366,0.20880974517738232,0.17241379618644714,0.1364369514731999,0.1111111111111111
10,mid_frequency,60,6.25781510946496,548.3333333333334,45.46666666666667,0.6066041783740123,0.5617046143327441,0.2493557306782653,0.20713012665510178,0.14589349947719746,0.12444690265486726
10,high_frequency,61,7.861831847005134,3534.7049180327867,268.0983606557377,0.49250751491243455,0.4884792608874185,0.2717182288847131,0.23341836035251617,0.14595437503656963,0.11553784860557768
