threshold,prediction_metric,n,spearman_rho
0,hits_r,224,-0.21815196401364617
0,alpha_r,222,0.14526516644074114
0,delta_r,222,0.022820917966133735
5,hits_r,201,-0.2051280063650677
5,alpha_r,201,0.09818776605894379
5,delta_r,201,-0.03342027542086192
10,hits_r,182,-0.286515481521986
10,alpha_r,182,0.18496615028632368
10,delta_r,182,0.05526550271784934
