threshold,prediction_metric,n,spearman_rho
0,hits_r,224,0.05722243409559715
0,alpha_r,219,-0.056150086196456506
0,delta_r,219,-0.06020702472116701
5,hits_r,201,0.04442230127146241
5,alpha_r,200,0.005810448123181059
5,delta_r,200,0.0064193763998941
10,hits_r,182,0.09186875653136745
10,alpha_r,181,-0.030653994699732023
10,delta_r,181,-0.033130113238404646
