threshold,mapping_type,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,1-1,directional_inverse_strength,"(0,0.1]",3,0.03637387030844972,36.666666666666664,0.43567498205673133,0.3333333432674408,0.566463153809309,0.699999988079071,0.2591371591371591,0.3
5,1-1,directional_inverse_strength,"(0.1,0.3]",3,0.13710514817385047,11.666666666666666,0.6469765674500239,0.699999988079071,0.26851852734883624,0.25,0.21064814814814814,0.1875
5,1-1,directional_inverse_strength,"(0.3,0.5]",1,0.4014084507042254,11.0,0.24675325410706656,0.24675325410706656,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.3333333333333333
5,1-1,directional_inverse_strength,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-1,mutual_inverse_strength,"(0,0.1]",6,0.0287887502158627,24.166666666666668,0.5413257747533776,0.5795918319906508,0.41749084057907265,0.4027777910232544,0.23489265364265363,0.24375
5,1-1,mutual_inverse_strength,"(0.1,0.3]",1,0.15159574468085107,11.0,0.24675325410706656,0.24675325410706656,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.3333333333333333
5,1-1,mutual_inverse_strength,"(0.5,1.0]",2,0.8026440037771482,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-1,inverse_clarity,"(0,0.1]",7,0.016070452146723625,22.285714285714285,0.49924398608961884,0.4591836759022304,0.4530873900013311,0.5555555820465088,0.24895560788417928,0.3
5,1-1,inverse_clarity,"(0.5,1.0]",2,0.7740212189670216,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-N,directional_inverse_strength,zero,13,0.0,46.76923076923077,0.5628926108826648,0.5336927175521851,0.16323542766846144,0.1463414579629898,0.10932173518051444,0.07142857142857142
5,1-N,directional_inverse_strength,"(0,0.1]",6,0.022293810442126093,76.66666666666667,0.37751490197011406,0.3309873938560486,0.4265152687827746,0.42213115096092224,0.26602600153631356,0.26111111111111107
5,1-N,directional_inverse_strength,"(0.1,0.3]",5,0.1748763859087668,23.0,0.5113417369978769,0.5137362650462559,0.2867003113031387,0.23255814611911774,0.20510823460582123,0.13953488372093023
5,1-N,directional_inverse_strength,"(0.3,0.5]",2,0.3483788923788814,55.0,0.3155416079929897,0.3155416079929897,0.3410256505012512,0.3410256505012512,0.18205128205128207,0.18205128205128207
5,1-N,mutual_inverse_strength,zero,13,0.0,46.76923076923077,0.5628926108826648,0.5336927175521851,0.16323542766846144,0.1463414579629898,0.10932173518051444,0.07142857142857142
