model,threshold,view,group_or_metric,n,hits_value,alpha_value,delta_value,reading
RotatE,10,global_spearman,symmetry_score_excluding_self_loops,182,0.0122,0.1310,0.1292,weak_signal
RotatE,10,bucket,zero,164,0.5815,0.2294,0.1331,main_reference_group
RotatE,10,bucket,high_symmetry,12,0.5924,0.3735,0.2341,no_clean_benefit
TransE,10,global_spearman,symmetry_score_excluding_self_loops,182,0.0117,0.0425,0.0520,weak_signal
TransE,10,bucket,zero,164,0.5605,0.3307,0.1838,main_reference_group
TransE,10,bucket,high_symmetry,12,0.5742,0.3512,0.2119,no_clean_benefit
