relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
109,/film/film/written_by,head,M-1,787,6.669498089857879,26,26,6,0.08791209065488406,0.8333333134651184,0.6666666666666666
110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,head,M-1,225,5.420534999272286,22,22,8,0.1623376671757017,1.0,0.625
111,/location/hud_county_place/county,head,M-1,305,5.723585101952381,7,7,4,0.3673469509397234,0.5,0.5
112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,head,M-N,494,6.20455776256869,63,63,63,0.9637188230242048,0.0793650820851326,0.047619047619047616
113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,head,M-1,142,4.962844630259907,20,20,10,0.32142857568604605,0.6000000238418579,0.3
114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,head,M-N,100,4.61512051684126,3,3,3,1.0,0.0,0.0
115,/film/film/film_format,head,M-1,345,5.846438775057724,39,39,7,0.051282052748969624,1.0,0.5714285714285714
116,/film/film/music,head,M-1,1039,6.946975992135418,92,92,28,0.15372670761176518,0.7857142686843872,0.4642857142857143
117,/sports/sports_team/roster./american_football/football_roster_position/position,head,M-N,607,6.410174881966167,3,3,2,0.38095239230564665,0.5,0.5
118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,head,M-1,411,6.021023349349527,50,50,11,0.10571428388357162,0.8181818127632141,0.45454545454545453
119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,head,M-N,250,5.5254529391317835,1,1,1,1.0,0.0,0.0
120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,head,M-1,788,6.670766320845874,84,84,33,0.1343537446643625,0.9090909361839294,0.48484848484848486
121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,head,M-N,246,5.5093883366279774,29,29,26,0.44827585986682345,0.8846153616905212,0.46153846153846156
122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,head,M-N,349,5.857933154483459,31,31,19,0.4746543679918562,0.5263158082962036,0.2631578947368421
123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,head,M-N,449,6.1092475827643655,1,1,0,0.0,,
124,/education/educational_institution/school_type,head,M-1,728,6.591673732008658,80,80,33,0.11071428656578064,1.0,0.5151515151515151
125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,head,1-N,128,4.859812404361672,17,17,16,0.9327731132507324,0.0625,0.0625
