relation_id,relation_name,mapping_type,train_frequency,log_train_frequency,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
149,/medicine/disease/notable_people_with_this_condition,1-N,121,4.804021044733257,15,15,15,15,0.4238095283508301,0.4000000059604645,0.2
150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,M-N,345,5.846438775057724,38,38,38,59,0.6334586569241115,0.4067796468734741,0.2033898305084746
151,/people/ethnicity/geographic_distribution,M-N,122,4.812184355372417,17,17,17,27,0.6512605122157505,0.37037035822868347,0.2962962962962963
152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,M-N,747,6.617402977974478,17,17,17,30,0.8151260444096157,0.2666666805744171,0.13333333333333333
153,/film/film/personal_appearances./film/personal_film_appearance/person,1-N,217,5.384495062789089,11,11,11,9,0.34415584802627563,0.2222222238779068,0.2222222222222222
154,/location/location/time_zones,M-1,1151,7.049254841255837,137,137,137,195,0.6162669488361904,0.2153846174478531,0.10256410256410256
155,/film/film/story_by,M-1,394,5.978885764901122,31,31,31,32,0.4239631252629416,0.375,0.1875
156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,M-N,192,5.262690188904886,21,21,21,42,0.9489795906203133,0.1428571492433548,0.14285714285714285
157,/olympics/olympic_games/participating_countries,M-N,490,6.19644412779452,23,23,23,34,0.6335403748920986,0.29411765933036804,0.20588235294117646
158,/tv/tv_network/programs./tv/tv_network_duration/program,1-N,305,5.723585101952381,26,26,26,29,0.4065933993884495,0.4482758641242981,0.27586206896551724
159,/people/person/employment_history./business/employment_tenure/company,M-1,316,5.75890177387728,24,24,24,28,0.3363095223903656,0.7142857313156128,0.42857142857142855
160,/music/artist/origin,M-1,552,6.315358001522335,34,34,34,23,0.23949580107416427,0.5652173757553101,0.2608695652173913
161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,1-N,417,6.035481432524756,53,53,53,58,0.5242587498256138,0.0517241396009922,0.034482758620689655
162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,M-1,271,5.605802066295998,9,9,9,10,0.380952388048172,0.6000000238418579,0.4
163,/time/event/locations,M-N,363,5.8971538676367405,34,34,34,39,0.3445378137486322,0.8717948794364929,0.46153846153846156
164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,1-1,236,5.4680601411351315,0,0,0,0,,,
165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,1-N,107,4.68213122712422,11,11,11,14,0.5259740310055869,0.2857142984867096,0.21428571428571427
166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,M-1,476,6.1675164908883415,5,5,5,5,0.5,0.0,0.0
167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,M-1,125,4.836281906951478,22,22,22,40,0.8993506687028068,0.07500000298023224,0.05
168,/user/ktrueman/default_domain/international_organization/member_states,1-N,179,5.19295685089021,24,24,24,44,0.7440476076943534,0.34090909361839294,0.1590909090909091
169,/american_football/football_team/current_roster./sports/sports_team_roster/position,M-N,573,6.352629396319567,0,0,0,0,,,
170,/soccer/football_player/current_team./sports/sports_team_roster/team,M-N,536,6.285998094508865,9,9,9,8,0.1428571455180645,0.875,0.75
171,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,M-N,101,4.624972813284271,16,16,16,32,1.0,0.0,0.0
172,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,M-1,335,5.817111159963204,48,48,48,78,0.6875,0.29487180709838867,0.14102564102564102
173,/film/film_set_designer/film_sets_designed,1-N,113,4.736198448394496,8,8,8,10,0.375,0.699999988079071,0.5
174,/user/jg/default_domain/olympic_games/sports,M-N,581,6.366470447731438,11,11,11,22,0.9805194735527039,0.04545454680919647,0.045454545454545456
175,/people/person/sibling_s./people/sibling_relationship/sibling,1-1,131,4.882801922586371,7,7,7,6,0.24489796374525344,0.6666666865348816,0.3333333333333333
176,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,M-N,352,5.8664680569332965,41,41,41,81,0.9337979129382542,0.1358024626970291,0.09876543209876543
177,/music/artist/contribution./music/recording_contribution/performance_role,M-N,218,5.389071729816501,14,14,14,15,0.3724489765507834,0.46666666865348816,0.26666666666666666
178,/sports/sports_position/players./sports/sports_team_roster/position,M-N,125,4.836281906951478,0,0,0,0,,,
179,/government/politician/government_positions_held./government/government_position_held/basic_title,M-N,114,4.74493212836325,16,16,16,25,0.6517857142857143,0.3199999928474426,0.2
180,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,M-N,102,4.634728988229636,0,0,0,0,,,
181,/people/profession/specialization_of,M-1,102,4.634728988229636,13,13,13,10,0.3186813294887543,0.5,0.3
182,/award/award_category/category_of,M-1,148,5.003946305945459,20,20,20,40,0.9785714490073067,0.05000000074505806,0.05
183,/film/film/cinematography,M-1,336,5.820082930352362,17,17,17,22,0.47058823704719543,0.5,0.36363636363636365
184,/film/film/film_production_design_by,M-1,158,5.0689042022202315,10,10,10,12,0.5214285765375409,0.3333333432674408,0.16666666666666666
185,/tv/tv_program/country_of_origin,M-1,268,5.594711379601839,32,32,32,53,0.7142857142857143,0.2641509473323822,0.1509433962264151
186,/film/film/edited_by,M-1,179,5.19295685089021,13,13,13,15,0.47252747416496277,0.2666666805744171,0.26666666666666666
187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,M-1,103,4.6443908991413725,11,11,11,11,0.4350649416446686,0.1818181872367859,0.18181818181818182
188,/education/field_of_study/students_majoring./education/education/major_field_of_study,M-N,343,5.840641657373398,11,11,11,16,0.5259740224906376,0.6875,0.4375
