threshold,prediction_metric,n,spearman_rho
0,hits_r,224,-0.2081691877584063
0,alpha_r,219,0.15135758236601385
0,delta_r,219,0.0006147071653854286
5,hits_r,201,-0.19379844966324603
5,alpha_r,200,0.10233079953709763
5,delta_r,200,-0.0672747179613933
10,hits_r,182,-0.27336890704122546
10,alpha_r,181,0.15826341917264222
10,delta_r,181,0.027317203392390032
