threshold,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,directional_inverse_strength,zero,97,0.0,66.5360824742268,619.6185567010309,0.6519869450965655,0.6095940385546004,0.16641053708735853,0.14724480360746384,0.10098952218109222,0.08430232558139535
0,directional_inverse_strength,"(0,0.1]",50,0.021541209716944478,155.88,1536.4,0.5048238879016466,0.5386486692087991,0.3325807496160269,0.26013512909412384,0.19096800488724575,0.12952725886389632
0,directional_inverse_strength,"(0.1,0.3]",26,0.1902428994582559,122.61538461538461,1490.0,0.4321172464598011,0.4464717422212873,0.39626732051372526,0.2916666567325592,0.2598763925536489,0.18620689655172415
0,directional_inverse_strength,"(0.3,0.5]",30,0.38803478199216984,81.7,1986.7666666666667,0.49404847565151394,0.47990669310092926,0.31887947271267575,0.2819293439388275,0.20104386412230738,0.17028985507246375
0,directional_inverse_strength,"(0.5,1.0]",34,0.7267077724285462,17.029411764705884,1083.7941176470588,0.614110800427395,0.5153061194079263,0.15578739643096923,0.032258063554763794,0.11334865640368486,0.03225806451612903
0,mutual_inverse_strength,zero,97,0.0,66.5360824742268,619.6185567010309,0.6519869450965655,0.6095940385546004,0.16641053708735853,0.14724480360746384,0.10098952218109222,0.08430232558139535
0,mutual_inverse_strength,"(0,0.1]",76,0.02493585032233442,104.34210526315789,1029.0657894736842,0.5105569369168509,0.5191480261938912,0.327622037678957,0.2702702581882477,0.20197195037492485,0.16666666666666666
0,mutual_inverse_strength,"(0.1,0.3]",30,0.19112871781998422,94.83333333333333,1444.8666666666666,0.4286352134649717,0.4827586156981332,0.3451395252576241,0.28616924583911896,0.22743323980736113,0.16269841269841268
0,mutual_inverse_strength,"(0.3,0.5]",18,0.3873275663305653,151.44444444444446,2535.3333333333335,0.4905941327329444,0.4588545092514583,0.302352680824697,0.26687371730804443,0.1768356458943332,0.135632183908046
0,mutual_inverse_strength,"(0.5,1.0]",16,0.5999844419925231,31.9375,2801.3125,0.6968889688397503,0.6980519379888263,0.12414355461414044,0.032258063554763794,0.0784470418880592,0.03225806451612903
0,inverse_clarity,zero,97,0.0,66.5360824742268,619.6185567010309,0.6519869450965655,0.6095940385546004,0.16641053708735853,0.14724480360746384,0.10098952218109222,0.08430232558139535
0,inverse_clarity,"(0,0.1]",98,0.021887556944310493,89.35714285714286,1008.4183673469388,0.49915732250840483,0.5151098966598511,0.33293355356461257,0.2702702581882477,0.2105344799771225,0.15384615384615385
0,inverse_clarity,"(0.1,0.3]",21,0.22087844343068422,105.71428571428571,1765.3809523809523,0.4704724233737566,0.4827586156981332,0.29168249087201226,0.2841614931821823,0.18253636537055046,0.17786561264822134
0,inverse_clarity,"(0.3,0.5]",14,0.4113568249316429,212.42857142857142,4974.071428571428,0.5289152517002457,0.48419927273477825,0.27026316204241346,0.2478516325354576,0.14607008410161132,0.11782974059188893
0,inverse_clarity,"(0.5,1.0]",7,0.6913029598620345,8.714285714285714,925.2857142857143,0.8,1.0,0.0,0.0,0.0,0.0
5,directional_inverse_strength,zero,85,0.0,75.71764705882353,678.964705882353,0.6555399312442093,0.6111111215182713,0.17717375778867042,0.1550387591123581,0.10636512989012335,0.0945945945945946
5,directional_inverse_strength,"(0,0.1]",49,0.021572662976473957,159.0,1565.7142857142858,0.49471825296086386,0.5352805256843567,0.3393681118530886,0.2702702581882477,0.19486531110943445,0.13114754098360656
5,directional_inverse_strength,"(0.1,0.3]",23,0.1865019758168448,138.30434782608697,1639.0434782608695,0.4838219804700857,0.4591836759022304,0.3437688266453536,0.2866241931915283,0.21725694842787927,0.18181818181818182
5,directional_inverse_strength,"(0.3,0.5]",28,0.3902735301564456,87.35714285714286,2104.8928571428573,0.49681214227968334,0.47990669310092926,0.3237994350492954,0.2819293439388275,0.19754699727390077,0.17028985507246375
5,directional_inverse_strength,"(0.5,1.0]",16,0.7096676506940696,34.625,2004.125,0.6128854067730053,0.5153061194079263,0.1705011399462819,0.1596638709306717,0.10419060896409094,0.1213235294117647
5,mutual_inverse_strength,zero,85,0.0,75.71764705882353,678.964705882353,0.6555399312442093,0.6111111215182713,0.17717375778867042,0.1550387591123581,0.10636512989012335,0.0945945945945946
5,mutual_inverse_strength,"(0,0.1]",68,0.02201500961555251,116.3529411764706,1131.8970588235295,0.49072281211739815,0.5178157772336687,0.34419097285717726,0.281650647521019,0.2056063178154808,0.17424242424242425
5,mutual_inverse_strength,"(0.1,0.3]",21,0.19945469667900878,134.8095238095238,1876.0,0.4632339356403773,0.4827586156981332,0.33207750746182035,0.2866241931915283,0.21015543976149476,0.16666666666666666
5,mutual_inverse_strength,"(0.3,0.5]",15,0.3848414684672381,181.33333333333334,2995.9333333333334,0.5286257313830512,0.48179140261241366,0.28917619287967683,0.2666666805744171,0.15529135562062207,0.13333333333333333
