threshold,prediction_metric,n,spearman_rho
0,hits_r,224,-0.013973586865216324
0,alpha_r,219,0.007161225287797149
0,delta_r,219,-0.0016530328667631426
5,hits_r,201,-0.007112201050938385
5,alpha_r,200,0.05721460693528372
5,delta_r,200,0.050716473337440386
10,hits_r,182,0.011704616417121609
10,alpha_r,181,0.04254946950308364
10,delta_r,181,0.05195570961248205
